Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
AI Tools for recruiting and interviewing,Get a list of tools with links.,Article (3rd Party Provider),2025-03-24 03:10 UTC,2025-03-24 03:10 UTC,false,N/A,
Technical SEO,"<p>Even if the only thing you know about SEO is what the letters S, E, and O stand for, you probably know that good content on your website only goes so far when it comes to improving visibility. In order to maximize ROI and increase leads to your business, you need technical search engine optimization. In this course, SEO expert Dana DiTomaso shows how to optimize your website for SEO by looking at how crawlers work, developing strategies for increasing site speed and discoverability, using schema, architecture, URLs, and image/video to your SEO advantage. Along the way, learn how to leverage analytics data and search results assessments to drive ongoing SEO decisions and platform iterations. In addition to the actual nuts and bolts of SEO, Dana also covers the importance of making concrete recommendations to IT teams and web developers, so you can actually get the fixes implemented that you need. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/digital-marketing-professional-certificate-by-content-marketing-institute"" target=""_blank"">Professional Certificate</a> from Content Marketing Institute.</p>",Course,2024-12-05 18:54 UTC,N/A,false,N/A,
Revit: AR and VR Workflows,"Getting consistent results in virtual reality means keeping best practices in mind all the way through the development process. In this course, learn why virtual reality and augmented reality are good for business; which tools to use when incorporating immersive technology in your architecture, engineering, or construction practice; and how to create files in Revit that translate through to VR with predictable outcomes. As he shares how to effectively incorporate VR and AR into your practice, instructor Logan Smith details best practices for using your Revit model with VR and AR. Learn how to leverage tools such as Enscape and the Argyle app, how to efficiently create and populate materials in a project, and how to leverage 3D shortcuts to work faster and smarter in Revit.",Course,2022-04-28 02:46 UTC,N/A,false,N/A,
Marketing Foundations: Personalization,"Ever felt like a newsletter or advertisement was speaking directly to you? Using data analysis and automation, marketers have the ability to tailor messaging and product offerings to individual consumers. It's called personalization, and it can help you differentiate products and services and boost conversion rates.<br><br>

Chris Goward has helped lead conversion optimization and personalization strategies for companies like IBM, Google, and HP. Join him in this course to learn the principles of marketing personalization, and strategies to put personalization to work in your campaigns. Chris reviews the different personalization platforms, and explains how to integrate them into your existing toolset. He helps you sort through data and find new opportunities, and prioritize your projects using the PIE framework.",Course,2023-11-19 08:22 UTC,N/A,true,N/A,
Advanced QGIS Analysis with AI and Machine Learning,"In this course, Gordon Luckett—President of Arrow Geomatics, Inc.—guides you through the advanced GIS Analysis tools available in QGIS, as well as some advanced plug-ins that use AI to manage and interpret Air Photographs. Learn how to analyze vector data, manipulate raster data, and digitize vector data with AI. Find out how to generate new data with raster calculations, build topology models for networks, and manage raster-to-vector conversions. Plus, explore ways to automate processes and animate 3D models.",Course,2024-10-03 21:29 UTC,N/A,false,N/A,
Applied Machine Learning: Feature Engineering,"Machine learning is not magic. The quality of the predictions coming out of your model is a direct reflection of the data you feed it during training. This course with instructor Matt Harrison guides you through the nuances of feature engineering techniques for numeric data so you can take a dataset, tease out the signal, and throw out the noise in order to optimize your machine learning model. Matt teaches you techniques like imputation, binning, log transformations, and scaling for numeric data. He covers methods for other types of data, like as one hot encoding, mean targeting coding, principal component analysis, feature aggregation, and text processing techniques like TFIDF and embeddings. The tools you learn in this course will generalize to nearly any kind of machine learning algorithm/problem, so join Matt in this course to learn how you can extract the maximum value from your data using feature engineering.",Course,2024-09-03 13:59 UTC,N/A,false,N/A,
NX: Class A Surfacing,"Class A surface modelers are called digital sculptors for a reason: the Class A surface represents the absolute peak of styling for freeform surfaces. For this reason, the class A technique is used to design automobiles, high-end products like mobile phones, and aerospace craft, where the shapes must be of the highest quality. This course introduces the concepts behind Class A surfacing, including an explanation of key terms and their roots in shipbuilding history. You also learn the fundamentals of Class A surfacing design—from deriving curves to creating mesh surfaces—and find out how to implement these techniques in Siemens NX, a high-end CAD platform. Instructor Steven Marjieh also shows how to assemble the final form, and perform an analysis to ensure your designs meet the original engineering and styling intents.",Course,2021-08-26 15:01 UTC,N/A,false,N/A,
Learning Data Analytics: 1 Foundations,"<p>Are you interested in pursuing a career in data analytics? In this course, instructor Robin Hunt brings you into the mind of an analyst. She defines and explains foundational concepts, such as how to think about data, how to work with others in different roles to get the data you need, and the tools you need to work with data, such as Excel and Microsoft Access. She introduces you to SQL queries, PowerBI, and more. Robin goes into syntax and explains how to interpret the data you see, find the data you need, and clean the data for effective data work. She explains data governance and how to ask the right questions of different departments to gather the data you need. Robin shows how to work with data, including how to import data, work with flat files such as CSVs, and create datasets for others. Robin goes into what cleaning and modeling mean, as well as how to use Power Query in Excel. She has also added challenge/solution sets in each chapter to help you evaluate your skills. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-data-analysis-by-microsoft-and-linkedin"">Professional Certificate</a> from Microsoft.</p>",Course,2021-12-24 20:14 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:3011745,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:3011745,Course,2022-03-26 12:54 UTC,N/A,false,N/A,
How to Get Started on Tasks You're Avoiding,"There may be times in your career when you avoid certain tasks, due to a variety of reasons. This course, taught by Ali Schiller, provides the tools and techniques to overcome task avoidance and get started on daunting tasks. Assess your energy blocks and understand the psychological factors behind procrastination. Create a personal action plan tailored to your specific needs. After this course, you'll be equipped to overcome procrastination and boost your productivity.",Course,2025-06-13 12:51 UTC,N/A,false,N/A,
